X = 1011	 Y = 541 
X = 1021	 Y = 585 
X = 1110	 Y = 597 
X = 1072	 Y = 572 
X = 1077	 Y = 541 
X = 1098	 Y = 529 
X = 1135	 Y = 459 
X = 1124	 Y = 537 
X = 1156	 Y = 567 
X = 1194	 Y = 560 
X = 1170	 Y = 501 
X = 1185	 Y = 454 
X = 1166	 Y = 415 
X = 1185	 Y = 366 
X = 1181	 Y = 244 
X = 1132	 Y = 311 
X = 1138	 Y = 379 
X = 1116	 Y = 331 
X = 1084	 Y = 308 
X = 1114	 Y = 272 
X = 1132	 Y = 240 
X = 1064	 Y = 249 
X = 1019	 Y = 290 
X = 966	 Y = 316 
X = 896	 Y = 440 
X = 988	 Y = 445 
X = 929	 Y = 473 
